Mod,PP,Address,Name,Access,Description,Type,width,rdata,wdata,shadow,resetVal,reset,triggerCnt,latch,connect_to_port,implemented,ifdef,comment
shire_other,0,0x02f,fast_local_barrier15,RW,Fast local barrier 15,MANUAL,,fast_local_barrier[15],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x030,fast_local_barrier16,RW,Fast local barrier 16,MANUAL,,fast_local_barrier[16],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x031,fast_local_barrier17,RW,Fast local barrier 17,MANUAL,,fast_local_barrier[17],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x032,fast_local_barrier18,RW,Fast local barrier 18,MANUAL,,fast_local_barrier[18],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x033,fast_local_barrier19,RW,Fast local barrier 19,MANUAL,,fast_local_barrier[19],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x034,fast_local_barrier20,RW,Fast local barrier 20,MANUAL,,fast_local_barrier[20],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x035,fast_local_barrier21,RW,Fast local barrier 21,MANUAL,,fast_local_barrier[21],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x036,fast_local_barrier22,RW,Fast local barrier 22,MANUAL,,fast_local_barrier[22],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x037,fast_local_barrier23,RW,Fast local barrier 23,MANUAL,,fast_local_barrier[23],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x038,fast_local_barrier24,RW,Fast local barrier 24,MANUAL,,fast_local_barrier[24],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x039,fast_local_barrier25,RW,Fast local barrier 25,MANUAL,,fast_local_barrier[25],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x03a,fast_local_barrier26,RW,Fast local barrier 26,MANUAL,,fast_local_barrier[26],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x03b,fast_local_barrier27,RW,Fast local barrier 27,MANUAL,,fast_local_barrier[27],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x03c,fast_local_barrier28,RW,Fast local barrier 28,MANUAL,,fast_local_barrier[28],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x03d,fast_local_barrier29,RW,Fast local barrier 29,MANUAL,,fast_local_barrier[29],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x03e,fast_local_barrier30,RW,Fast local barrier 30,MANUAL,,fast_local_barrier[30],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x03f,fast_local_barrier31,RW,Fast local barrier 31,MANUAL,,fast_local_barrier[31],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,3,0x040,mtime,RW,machine-mode real-time counter,,64,mtime_read,,,`ESR_SHIRE_MTIME_RESET_VAL,GLOBAL,,NO,NO,YES,,
shire_other,3,0x041,mtimecmp,RW,mtime compare for interrupt trigger,,64,mtimecmp_read,,,`ESR_SHIRE_MTIMECMP_RESET_VAL,GLOBAL,,NO,NO,YES,,
shire_other,3,0x042,time_config,RW,mtime clock source select and prescalar value,esr_time_config_t,,time_config_read,,,`ESR_SHIRE_TIME_CONFIG_RESET_VAL,GLOBAL,,NO,NO,YES,,
shire_other,3,0x043,mtime_local_target,RW,"mtime interrupt mask, bit per hart",,`THREADS_PER_N,mtime_local_target_read,,,`ESR_SHIRE_MTIME_LOCAL_TARGET_RESET_VAL,GLOBAL,,NO,NO,YES,,
shire_other,3,0x048,thread0_disable,RW,shire thread0 disable per minion,,`MIN_PER_N,,,,`THREAD0_DISABLE_RESET_VAL,GLOBAL,,YES,NO,YES,,
shire_other,0,0x050,,,,,,,,,,,,,,NO,,
shire_other,1,0x052,shire_coop_mode,RW,Shire cooperative mode enable,,1,,,,`ESR_SHIRE_COOP_MODE_RESET_VAL,NON-DEBUG,,NO,YES,YES,,
shire_other,0,0x05f,icache_uprefetch,RW,Configure and trigger user-level icache prefetch service,esr_icache_prefetch_t,,icache_prefetch_idle,,,'0,NON-DEBUG,,YES,NO,YES,,
shire_other,1,0x060,icache_sprefetch,RW,Configure and trigger supervisor-level icache prefetch service,esr_icache_prefetch_t,,icache_prefetch_idle,,,'0,NON-DEBUG,,YES,NO,YES,,
shire_other,3,0x061,icache_mprefetch,RW,Configure and trigger machine-level icache prefetch service,esr_icache_prefetch_t,,icache_prefetch_idle,,,'0,NON-DEBUG,,YES,NO,YES,,
shire_other,3,0x062,clk_gate_ctrl,RW,Clock Gate Enable control,esr_clk_gate_ctrl_t,,,,,`ESR_SHIRE_CLK_GATE_CTRL_RESET_VAL,GLOBAL,,NO,YES,YES,,
shire_other,2,0x3ff2,sm_config,RW,,esr_sm_config_t,,,,,'0,GLOBAL,,NO,YES,YES,,
shire_other,2,0x3ff3,sm_trigger,RW,,MANUAL,,'0,,,,GLOBAL,,NO,NO,YES,,
shire_other,2,0x3ff5,sm_match,RO,,,64,,,,,GLOBAL,,NO,NO,YES,,
shire_other,2,0x3ff6,sm_filter0,RO,,,64,,,,,GLOBAL,,NO,NO,YES,,
shire_other,2,0x3ff7,sm_filter1,RO,,,64,,,,,GLOBAL,,NO,NO,YES,,
shire_other,2,0x3ff8,sm_filter2,RO,,,64,,,,,GLOBAL,,NO,NO,YES,,
shire_other,2,0x3ff9,sm_data0,RO,,,64,,,,,GLOBAL,,NO,NO,YES,,
shire_other,2,0x3ffa,sm_data1,RO,,,64,,,,,GLOBAL,,NO,NO,YES,,
shire_other,2,0x3ff1,dmctrl,RW,,esr_dmctrl_t,,dmctrl_read,,,`ESR_DMCTRL_RESET_VAL,GLOBAL,,NO,NO,YES,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
RBOX ESRs,,,,,,,,,,,,,,,,,,
rbox,0,0x000,rbox_config,RW,RBOX Configuration ESR,,64,,,,'0,NON-DEBUG,,NO,YES,YES,,
rbox,0,0x001,rbox_in_buf_pg,RW,RBOX Input Buffer Pages ESR,,64,,,,'0,NON-DEBUG,,NO,YES,YES,,
rbox,0,0x002,rbox_in_buf_cfg,RW,RBOX Input Buffer Configuration ESR,,64,,,,'0,NON-DEBUG,,NO,YES,YES,,
rbox,0,0x003,rbox_out_buf_pg,RW,RBOX Output Buffer Page ESR,,32,,,,'0,NON-DEBUG,,NO,YES,YES,,
rbox,0,0x004,rbox_out_buf_cfg,RW,RBOX Output Buffer Configuration ESR,,64,,,,'0,NON-DEBUG,,NO,YES,YES,,
rbox,0,0x005,rbox_status,RO,RBOX Status ESR,,32,,,,'0,NON-DEBUG,,NO,YES,YES,,
rbox,0,0x006,rbox_start,RW,RBOX Start ESR,,32,,,,'0,NON-DEBUG,,NO,YES,YES,,
rbox,0,0x007,rbox_consume,RW,RBOX Consume Output ESR,,32,,,,'0,NON-DEBUG,,NO,YES,YES,,
rbox,0,0x010,rasterization_counter0_config,RW,Rasterization Performance Counter 0 Configuration ESR,MANUAL,,,,,'0,NON-DEBUG,,NO,NO,NO,,
rbox,0,0x011,rasterization_counter1_config,RW,Rasterization Performance Counter 1 Configuration ESR,MANUAL,,,,,'0,NON-DEBUG,,NO,NO,NO,,
rbox,0,0x012,rasterization_counter2_config,RW,Rasterization Performance Counter 2 Configuration ESR,MANUAL,,,,,'0,NON-DEBUG,,NO,NO,NO,,
rbox,0,0x013,rasterization_counter3_config,RW,Rasterization Performance Counter 3 Configuration ESR,MANUAL,,,,,'0,NON-DEBUG,,NO,NO,NO,,
rbox,0,0x020,rasterization_counter0,RO,Rasterization Performance Counter 0 ESR,MANUAL,,,,,'0,NON-DEBUG,,NO,NO,NO,,
rbox,0,0x021,rasterization_counter1,RO,Rasterization Performance Counter 1 ESR,MANUAL,,,,,'0,NON-DEBUG,,NO,NO,NO,,
rbox,0,0x022,rasterization_counter2,RO,Rasterization Performance Counter 2 ESR,MANUAL,,,,,'0,NON-DEBUG,,NO,NO,NO,,
rbox,0,0x023,rasterization_counter3,RO,Rasterization Performance Counter 3 ESR,MANUAL,,,,,'0,NON-DEBUG,,NO,NO,NO,,
,,,,,,,,,,,,,,,,,,
MemShire ESRs,,,,,,,,,,,,,,,,,,
memshire,2,0x000,ms_mem_ctl,RW,Memory shire memory controller control,esr_ms_mem_ctl_t,,,,,`ESR_MS_MEM_CTL_RESET_VAL,GLOBAL,,NO,NO,YES,,
memshire,2,0x001,ms_atomic_sm_ctl,RW,Memory atomic eviction start,MANUAL,,esr_status_atomic_sm_ctl,,,,NON-DEBUG,,NO,NO,YES,,
memshire,2,0x002,ms_mem_revision_id,RO,Memory shire revision id register,MANUAL,,esr_status_mem_revision_id,,,,GLOBAL,,NO,NO,YES,,
memshire,2,0x003,ms_clk_gate_ctl,RW,Memory shire Clock Gate Enable control,esr_ms_clk_gate_ctl_t,,,,,`ESR_MS_CLK_GATE_CTL_RESET_VAL,DEBUG,,NO,NO,YES,,
memshire,2,0x004,ms_mem_status,RO,Memory shire status,MANUAL,,esr_status_mem_status,,,,GLOBAL,,NO,NO,YES,,
,,,,,,,,,,,,,,,,,,
DDRC ESRs,,,,,,,,,,,,,,,,,,
