Address,Name,Privilege,Access,Description,shared,Type,width,rdata,sign_ext_rdata,wdata,shadow,resetVal,aon,reset,triggerCnt,latch,implemented,ifdef,trap_if,comment
0x180,satp,supervisor,RW,Supervisor address translation and protection,YES,csr_satp_t,,,,,,,,NON-DEBUG,,YES,YES,,mem_trap_virtual_memory,
Supervisor Message Ports,,,,,,,,,,,,,,,,,,,,
0x9CC,smsg_port0,supervisor,RW,super level control for msg port0,NO,MANUAL,,portctl_rdata,,,,,,NON-DEBUG,,,YES,,,
0x9CD,smsg_port1,supervisor,RW,super level control for msg port1,NO,MANUAL,,portctl_rdata,,,,,,NON-DEBUG,,,YES,,,
0x9CE,smsg_port2,supervisor,RW,super level control for msg port2,NO,MANUAL,,portctl_rdata,,,,,,NON-DEBUG,,,YES,,,
0x9CF,smsg_port3,supervisor,RW,super level control for msg port3,NO,MANUAL,,portctl_rdata,,,,,,NON-DEBUG,,,YES,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Machine-level CSRs,,,,,,,,,,,,,,,,,,,,
Machine Information Registers,,,,,,,,,,,,,,,,,,,,
0xF11,mvendorid,machine,RO-HWIRED,Vendor ID,YES,,0,`CSR_VENDOR_ID,,,,,,NON-DEBUG,,,YES,,,
0xF12,marchid,machine,RO-HWIRED,Architecture ID,YES,,0,`CSR_ARCH_ID,,,,,,NON-DEBUG,,,YES,,,
0xF13,mimpid,machine,RO-HWIRED,Implementation ID,YES,,0,`CSR_IMP_ID,,,,,,NON-DEBUG,,,YES,,,
0xF14,mhartid,machine,RO-HWIRED,Hardware thread ID,YES,,0,read_hartid,,,,,,NON-DEBUG,,,YES,,,
Machine Trap Setup,,,,,,,,,,,,,,,,,,,,
0x300,mstatus,machine,RW,Machine status register,NO,csr_mstatus_t,,read_mstatus,,,,`MSTATUS_RESET_VAL,YES,NON-DEBUG,,NO,YES,,,
0x301,misa,machine,RW-HWIRED,ISA and extensions,YES,,0,`CSR_ISA_MAX,,,,,,NON-DEBUG,,,YES,,,
0x302,medeleg,machine,RW,Machine exception delegation register,NO,csr_medeleg_t,,,,,,'0,,NON-DEBUG,,YES,YES,,,
0x303,mideleg,machine,RW,Machine interrupt delegation register,NO,csr_mideleg_t,,,,,,'0,,NON-DEBUG,,YES,YES,,,
0x304,mie,machine,RW,Machine interrupt-enable register,NO,csr_mie_t,,,,,,'0,,NON-DEBUG,,NO,YES,,,
0x305,mtvec,machine,RW,Machine trap-handler base address,NO,csr_tvec_t,,,YES,extend_VA(wb_wdata),,,,NON-DEBUG,,NO,YES,,,
0x306,mcounteren,machine,RW,Machine counter enable,NO,,`CSR_NR_COUNTERS,,,,,'0,,NON-DEBUG,,YES,YES,,,
Machine Trap Handling,,,,,,,,,,,,,,,,,,,,
0x340,mscratch,machine,RW,Scratch register for machine trap handlers,NO,,,,,,,,,NON-DEBUG,,YES,YES,,,
0x341,mepc,machine,RW,Machine exception program counter,NO,csr_pc_t,,,YES,extend_VA(wb_wdata),,,YES,NON-DEBUG,,NO,YES,,,
0x342,mcause,machine,RW,Machine trap cause,NO,csr_cause_t,,,,,,'0,YES,NON-DEBUG,,,YES,,,
0x343,mtval,machine,RW,Machine bad address or instruction,NO,,`VA_SIZE_EXT,,YES,extend_VA(wb_wdata),,,YES,NON-DEBUG,,NO,YES,,,
0x344,mip,machine,RW,Machine interrupt pending,NO,csr_mip_t,,read_mip,,,,'0,YES,NON-DEBUG,,NO,YES,,,
Machine Protection and Translation,,,,,,,,,,,,,,,,,,,,
0x3A0,pmpcfg0,machine,RW,Physical memory protection configuration,,,,,,,,,,NON-DEBUG,,,,,,
0x3A2,pmpcfg2,machine,RW,Physical memory protection configuration,,,,,,,,,,NON-DEBUG,,,,,,
0x3B0,pmpaddr0,machine,RW,Physical memory protection address register,,,,,,,,,,NON-DEBUG,,,,,,
0x3B1,pmpaddr1,machine,RW,Physical memory protection address register,,,,,,,,,,NON-DEBUG,,,,,,
...,,#NUM!,#NUM!,,,,,,,,,,,,,,,,,
0x3BF,pmpaddr15,machine,RW,Physical memory protection address register,,,,,,,,,,NON-DEBUG,,,,,,
Machine Counter/Timers,,,,,,,,,,,,,,,,,,,,
0xB00,mcycle,machine,RW,Machine cycle counter,YES,MANUAL,,,,,,,,NON-DEBUG,,,YES,,,
0xB02,minstret,machine,RW,Machine instructions-retired counter,NO,MANUAL,,,,,,,,NON-DEBUG,,,YES,,,
